iter	MultiClass
0	2.321347188
1	2.099413161
2	1.948478693
3	1.834364145
4	1.743265612
5	1.666558794
6	1.601680902
7	1.545844201
8	1.497183162
9	1.454136448
10	1.41644898
11	1.382161568
12	1.35166653
13	1.323880993
14	1.298683333
15	1.275467908
16	1.254443247
17	1.235145675
18	1.217423806
19	1.200997993
20	1.186002032
21	1.172187725
22	1.159744229
23	1.147770395
24	1.136729406
25	1.126394121
26	1.117073069
27	1.10832676
28	1.100034916
29	1.09232994
30	1.085047655
31	1.078824609
32	1.072279204
33	1.066431995
34	1.060870541
35	1.055916917
36	1.050942909
37	1.0464336
38	1.042279887
39	1.038042879
40	1.034234189
41	1.030925104
42	1.027433345
43	1.024093407
44	1.021001851
45	1.018124834
46	1.015675808
47	1.01360317
48	1.011085275
49	1.00868406
50	1.006613865
51	1.004268186
52	1.002168914
53	1.000153952
54	0.9983745329
55	0.9964859667
56	0.9946491093
57	0.9927221107
58	0.9912690081
59	0.9896961847
60	0.9884343506
61	0.9869326952
62	0.9854895577
63	0.9840289174
64	0.9827609393
65	0.981563745
66	0.9802684733
67	0.9792793116
68	0.9780370788
69	0.9771931174
70	0.9762187105
71	0.9750956586
72	0.9739178038
73	0.9729381568
74	0.9716472559
75	0.9707472021
76	0.9698385603
77	0.9690233292
78	0.9680642441
79	0.9670035965
80	0.9661067053
81	0.9652215365
82	0.9641110195
83	0.9633808702
84	0.9625653589
85	0.9617740338
86	0.961279234
87	0.9608183249
88	0.9598779749
89	0.958779715
90	0.9577837424
91	0.9569604923
92	0.9561748204
93	0.9555671904
94	0.9549705942
95	0.9544227308
96	0.9538268624
97	0.9530428841
98	0.9523377796
99	0.9515237014
100	0.9510559155
101	0.9499746353
102	0.9493120656
103	0.9485910221
104	0.9477162571
105	0.9469693124
106	0.9460998436
107	0.9455965925
108	0.9450619481
109	0.9446697018
110	0.9439913408
111	0.9432750414
112	0.9426713416
113	0.9417825286
114	0.9411570986
115	0.9403394452
116	0.9398698052
117	0.9394051198
118	0.9386962792
119	0.9380582814
120	0.9373482647
121	0.9366928835
122	0.9361765637
123	0.9357294822
124	0.9350564146
125	0.9342734945
126	0.9339316621
127	0.933267295
128	0.9325725394
129	0.9321475282
130	0.9315268454
131	0.9308665014
132	0.9301361569
133	0.9297661315
134	0.9291159038
135	0.9285229559
136	0.9276388782
137	0.9269702603
138	0.926527524
139	0.9261096934
140	0.9254702855
141	0.9248754027
142	0.9242094072
143	0.923811316
144	0.9232107244
145	0.9227314931
146	0.9222270931
147	0.9217513796
148	0.921231606
149	0.9207177878
150	0.920066477
151	0.9193723379
152	0.9190321275
153	0.9183741028
154	0.9176526668
155	0.9169609763
156	0.916505046
157	0.9157881262
158	0.9148493706
159	0.9144158357
160	0.9138925482
161	0.9135249685
162	0.9131400763
163	0.9126894349
164	0.9121507732
165	0.9113753847
166	0.9107350715
167	0.9100959835
168	0.9097791054
169	0.9092628497
170	0.9085684676
171	0.9079407829
172	0.90723588
173	0.9067772616
174	0.9060969904
175	0.9057797303
176	0.9051304468
177	0.9047203844
178	0.9040927304
179	0.9036174134
180	0.9032256362
181	0.9029320005
182	0.9025343071
183	0.9021166377
184	0.9017448988
185	0.9010655125
186	0.9004692737
187	0.9001615895
188	0.8996471931
189	0.8991175964
190	0.8984209461
191	0.8978983842
192	0.8976177661
193	0.8970957764
194	0.8966231097
195	0.8963040244
196	0.89581266
197	0.8953418069
198	0.8948502482
199	0.8942955041
200	0.8937334678
201	0.893268988
202	0.892763643
203	0.8923088671
204	0.8918736608
205	0.8914492507
206	0.890972837
207	0.8905681336
208	0.8902247101
209	0.8899232803
210	0.8893988561
211	0.8890086632
212	0.8886572448
213	0.8879964023
214	0.8876090612
215	0.8873812375
216	0.8869903705
217	0.8866015827
218	0.8863216741
219	0.8857855302
220	0.8854837643
221	0.8851793735
222	0.8846819972
223	0.8842050139
224	0.8838557081
225	0.8835231861
226	0.8832329857
227	0.8827876231
228	0.8823703471
229	0.8819273544
230	0.8814907707
231	0.8811909064
232	0.880798236
233	0.8804094151
234	0.8800059322
235	0.879641018
236	0.8791276623
237	0.8787381596
238	0.8783824673
239	0.8779697951
240	0.8777037548
241	0.877248417
242	0.8767954897
243	0.8765760831
244	0.8760297284
245	0.8757528469
246	0.8753480565
