iter	Passed	Remaining
0	2317	692987
1	4462	664953
2	6629	656368
3	9480	701544
4	11930	703925
5	14396	705431
6	16704	699211
7	19002	693605
8	21424	692737
9	23940	694276
10	26724	702114
11	29061	697474
12	31405	693341
13	33844	691393
14	36543	694325
15	39098	693992
16	41602	692558
17	44096	690846
18	46572	688776
19	49047	686671
20	51506	684303
21	53959	681850
22	56562	681209
23	57635	662813
24	60276	663042
25	63188	665905
26	65479	662067
27	67699	657651
28	69968	653839
29	72175	649581
30	74329	644986
31	76440	640187
32	78503	635166
33	80574	630373
34	82598	625385
35	84885	622493
36	87201	619834
37	89341	615987
38	91391	611618
39	93431	607304
40	95585	603818
41	97893	601348
42	100015	597764
43	102173	594464
44	104366	591412
45	106521	588182
46	108593	584554
47	110767	581530
48	113196	579840
49	116205	581027
50	118709	579582
51	120972	576947
52	123203	574173
53	125580	572090
54	128061	570457
55	130281	567655
56	132554	565101
57	134733	562162
58	136972	559497
59	139139	556557
60	141391	553976
61	143952	552591
62	146815	552305
63	149083	549746
64	151594	548073
65	154128	546456
66	156418	543961
67	158913	542175
68	161337	540129
69	163461	537086
70	165645	534265
71	167963	531884
72	170031	528727
73	172933	528148
74	175726	527178
75	178499	526103
76	180986	524154
77	183569	522467
78	186232	520979
79	188734	519021
80	191338	517323
81	193851	515360
82	196318	513267
83	198970	511637
84	201453	509559
85	204840	509720
86	207277	507472
87	209710	505212
88	212072	502778
89	214369	500194
90	216730	497766
91	219151	495472
92	221448	492902
93	223947	490779
94	226254	488234
95	228570	485712
96	230937	483302
97	233200	480678
98	235451	478038
99	237749	475498
100	240161	473188
101	242472	470682
102	244929	468457
103	247285	466037
104	249556	463461
105	252004	461215
106	254254	458608
107	256537	456066
108	258998	453841
109	261369	451457
110	263815	449200
111	266771	447794
112	269248	445570
113	271479	442940
114	273897	440617
115	276130	438000
116	278500	435603
117	280893	433243
118	283189	430733
119	285625	428438
120	288036	426103
121	290382	423672
122	292924	421525
123	295138	418905
124	297550	416570
125	299928	414186
126	302306	411803
127	304693	409431
128	307088	407070
129	309586	404844
130	312039	402555
131	314496	400268
132	316896	397907
133	319283	395530
134	321651	393129
135	324599	391428
136	327272	389382
137	329752	387100
138	332143	384712
139	334491	382275
140	336959	379976
141	339261	377487
142	341679	375130
143	344163	372843
144	346606	370510
145	348992	368115
146	351333	365674
147	353713	363273
148	356098	360878
149	358403	358403
150	360968	356186
151	363286	353726
152	365650	351311
153	367962	348847
154	370311	346420
155	372714	344044
156	375247	341786
157	377618	339379
158	379968	336953
159	382448	334642
160	385324	332671
161	387867	330405
162	390550	328253
163	393290	326142
164	396074	324060
165	398631	321787
166	401513	319768
167	404201	317586
168	407033	315510
169	410112	313615
170	412834	311436
171	415761	309403
172	418241	307032
173	420460	304471
174	422709	301935
175	424921	299376
176	427141	296827
177	429453	294344
178	431826	291904
179	433993	289328
180	436359	286888
181	438675	284416
182	440884	281877
183	443213	279416
184	445751	277088
185	447948	274548
186	450186	272037
187	452367	269495
188	454566	266967
189	456864	264500
190	459049	261970
191	461357	259513
192	463436	256931
193	465700	254454
194	468080	252043
195	470397	249598
196	472600	247095
197	474790	244589
198	477005	242098
199	479310	239655
200	481510	237161
201	483824	234726
202	485956	232205
203	488200	229741
204	490474	227293
205	492673	224812
206	494926	222358
207	497104	219873
208	499303	217400
209	501521	214937
210	504011	212592
211	506736	210343
212	508893	207857
213	511101	205396
214	513225	202903
215	515445	200451
216	517536	197951
217	519961	195581
218	522175	193133
219	524331	190666
220	526477	188197
221	528684	185753
222	531044	183364
223	533183	180901
224	535482	178494
225	537731	176071
226	539863	173612
227	541920	171132
228	544137	168706
229	546373	166287
230	548467	163827
231	550599	161382
232	552733	158940
233	554907	156512
234	557034	154073
235	559149	151633
236	561229	149187
237	563333	146750
238	566075	144479
239	568184	142046
240	570373	139634
241	572495	137209
242	574723	134811
243	576957	132416
244	579144	130012
245	581264	127594
246	583474	125198
247	585622	122791
248	587783	120389
249	589843	117968
250	592038	115577
251	594206	113182
252	596355	110785
253	598480	108386
254	600643	105995
255	602765	103600
256	604945	101216
257	607187	98844
258	609273	96448
259	611374	94057
260	613651	91695
261	615798	89314
262	617993	86942
263	620106	84559
264	622273	82187
265	624817	79863
266	627050	77500
267	629074	75113
268	631448	72769
269	633714	70412
270	635818	68039
271	638026	65679
272	640229	63319
273	642348	60952
274	644633	58603
275	646935	56255
276	649186	53903
277	651285	51540
278	653364	49177
279	655455	46818
280	657730	44472
281	659870	42119
282	662097	39772
283	664181	37418
284	666404	35073
285	668543	32725
286	670639	30377
287	672795	28033
288	675000	25692
289	677145	23349
290	679229	21007
291	681367	18667
292	683540	16330
293	686116	14002
294	688234	11664
295	690397	9329
296	692524	6995
297	694688	4662
298	696835	2330
299	699000	0
